Vivado Simulator 2020.2
Time resolution is 1 ps
AND4: 0 x x x -> x
AND4: 1 1 1 1 -> x
AND4: 0 1 0 0 -> x
AND4: 0 1 1 1 -> x
AND4: 0 0 1 1 -> x
AND4: 0 1 0 0 -> x
AND4: x 0 1 0 -> x
AND4: 0 0 1 1 -> 0
AND4: 0 1 0 0 -> 0
AND4: 0 1 1 1 -> 0
AND4: 1 1 1 1 -> 1
AND4: 0 1 0 0 -> 0
AND4: x 0 1 0 -> 0
AND4: 1 0 1 0 -> 0
AND4: 0 1 1 1 -> 1
AND4: 0 1 1 1 -> 0
AND4: 0 0 1 0 -> 0
AND4: 1 1 1 1 -> 0
AND4: 0 1 0 1 -> 0
AND4: 0 0 1 0 -> 0
AND4: 1 1 0 1 -> 0
AND4: 1 1 0 1 -> 1
AND4: 1 1 0 1 -> 0
AND4: 0 1 0 1 -> 0
AND4: 0 1 0 0 -> 0
AND4: 0 1 0 0 -> 0
AND4: 1 1 1 0 -> 0
AND4: 0 1 1 0 -> 0
AND4: 0 0 1 1 -> 0
AND4: 0 1 1 0 -> 0
AND4: 1 1 0 0 -> 0
AND4: 0 1 0 1 -> 0
AND4: 0 0 1 0 -> 0
AND4: 1 1 0 1 -> 0
AND4: 1 0 0 0 -> 0
AND4: 0 1 0 0 -> 0
AND4: 0 0 0 0 -> 0
AND4: 1 1 0 0 -> 0
AND4: 0 1 0 0 -> 0
AND4: 0 1 0 0 -> 0
AND4: 1 1 0 1 -> 0
AND4: 0 1 1 1 -> 0
AND4: 0 0 1 1 -> 0
AND4: 1 1 1 1 -> 0
AND4: 1 1 1 1 -> 1
AND4: 0 1 1 1 -> 1
AND4: 0 1 1 1 -> 0
AND4: 0 1 0 0 -> 0
AND4: 1 1 1 1 -> 0
AND4: 0 1 0 1 -> 0
AND4: 0 0 1 0 -> 0
AND4: 1 1 0 1 -> 0
AND4: 1 1 0 1 -> 1
AND4: 1 1 0 1 -> 0
AND4: 0 1 0 0 -> 0
AND4: 0 1 0 0 -> 0
AND4: 0 0 0 0 -> 0
AND4: 0 0 0 0 -> 0
AND4: 1 0 0 0 -> 0
AND4: 1 1 1 0 -> 0
AND4: 0 1 1 0 -> 0
AND4: 0 0 1 1 -> 0
AND4: 0 1 1 0 -> 0
AND4: 1 1 0 1 -> 0
AND4: 0 1 0 1 -> 0
AND4: 0 0 1 0 -> 0
AND4: 0 1 0 1 -> 0
AND4: 0 1 0 0 -> 0
AND4: 0 1 0 0 -> 0
AND4: 1 0 0 0 -> 0
AND4: 1 1 0 0 -> 0
AND4: 0 1 0 0 -> 0
$finish called at time : 161 ps : File "C:/home/github/LogicDesign/Lab2-Advanced/Problem_3_4/Lab2-Advanced/Lab2-Advanced.srcs/sim_1/new/CLA_t.v" Line 43
